Title of work,Artist or author display,Start Date,End Date,Date,Type of Item,Partner institutions,"Latitude,Longitude",Latitude,Longitude,Location name,Image (link),Record url,Subject 1,Subject 2,Subject 3,Subject 4,Subject 5,Subject 6,Additional Subjects,Additional Subjects,Additional Subjects,Additional Subjects,Additional Subjects,Additional Subjects,Additional Subjects,Additional Subjects,Additional Subjects,Additional Subjects,Additional Subjects,Additional Subjects,Additional Subjects,Additional Subjects,Additional Subjects,Additional Subjects
"One Hundred Aspects of the Moon: The Village of the Shi Clan on a Moonlit Night - Nine-Dragon Tattoo from The Water Margin""""","Tsukioka, Yoshitoshi, 1839-1892,Yamamoto",1885,1885,1885,,National Diet Library,"39.9075,116.39723",39.9075,116.39723,"East Asia China,East Asia Japan","https://content.wdl.org/iiif/5210,1,1/full/!1024,1024/0/default.jpg",https://www.wdl.org/en/item/15210/,The arts,fine & decorative arts,Graphic arts,printmaking & prints,History & geography,History of Asia,Far East,Japan,"Art, Japanese",Chinese literature,Moon,Tattooing,Ukiyo-e,Willows,Woodcuts,,,,,,,
Collected Literary Works of Ouyang Xingzhou,"Ouyang, Zhan, 798-approximately 827",1127,1279,"1127,1279",,National Central Library,"30.4999999962,102.499999986",30.4999999962,102.499999986,East Asia China Sichuan Province,"https://content.wdl.org/iiif/15575,1,1/full/!1024,1024/0/default.jpg",https://www.wdl.org/en/item/15575/,Literature & rhetoric,Literatures of other specific languages and language families,Literatures of East & Southeast Asia,History & geography,History of Asia,Far East,China & adjacent areas,Chinese literature,Chinese poetry,Ci (Chinese poetry),Fu (Chinese poetry),Poetry,,,,,,,,,,
"Bengal Hurkaru. Volume 11, Number 560, Tuesday, October 8, 1805","Greenway, Joseph",1805,1805,1805,,Library of Congress,"23.7104,90.40744",23.7104,90.40744,"Central and South Asia Bangladesh,Central and South Asia India West Bengal","https://content.wdl.org/iiif/16093,1,1/full/!1024,1024/0/default.jpg",https://www.wdl.org/en/item/16093/,"Computer science, information, general works","Documentary media, educational media, news media",journalism,publishing,Newspapers in other geographic areas,History & geography,History of Asia,Far East,South Asia,India,Advertising,"Dundas, Henry, 1742-1811",East India Company,"India -- History -- British occupation, 1765-1947",Political corruption,Social matters,,,,,,
"Bengal Hurkaru. Volume 11, Number 564, Tuesday, November 5, 1805","Greenway, Joseph",1805,1805,1805,,Library of Congress,"23.7104,90.40744",23.7104,90.40744,"Central and South Asia Bangladesh,Central and South Asia India West Bengal","https://content.wdl.org/iiif/16097,1,1/full/!1024,1024/0/default.jpg",https://www.wdl.org/en/item/16097/,"Computer science, information, general works","Documentary media, educational media, news media",journalism,publishing,Newspapers in other geographic areas,History & geography,History of Asia,Far East,South Asia,India,Advertising,East India Company,"India -- History -- British occupation, 1765-1947","Napoleonic Wars, 1800-1815",Social matters,,,,,,,
"Bengal Hurkaru. Volume 11, Number 571, Tuesday, December 24, 1805","Greenway, Joseph",1805,1805,1805,,Library of Congress,"23.7104,90.40744",23.7104,90.40744,"Central and South Asia Bangladesh,Central and South Asia India West Bengal","https://content.wdl.org/iiif/16104,1,1/full/!1024,1024/0/default.jpg",https://www.wdl.org/en/item/16104/,"Computer science, information, general works","Documentary media, educational media, news media",journalism,publishing,Newspapers in other geographic areas,History & geography,History of Asia,Far East,South Asia,India,Advertising,"Cornwallis, Charles Cornwallis, Marquis, 1738-1805",East India Company,"India -- History -- British occupation, 1765-1947",Social matters,,,,,,,
"Bengal Hurkaru and Chronicle. Volume 2, Number 3, Thursday, July 3, 1828",undefined,1828,1828,1828,,Library of Congress,"23.7104,90.40744",23.7104,90.40744,"Central and South Asia Bangladesh,Central and South Asia India West Bengal","https://content.wdl.org/iiif/16147,1,1/full/!1024,1024/0/default.jpg",https://www.wdl.org/en/item/16147/,"Computer science, information, general works","Documentary media, educational media, news media",journalism,publishing,Newspapers in other geographic areas,History & geography,History of Asia,Far East,South Asia,India,East India Company,"India -- History -- British occupation, 1765-1948",Social matters,,,,,,,,,
Thousand and One Nights. Now First Completely Done into English Prose and Verse,"Villon Society (London, England),Macnaghten, W. H. (William Hay), Sir, 1793-1841,Payne, John, 1842-1916",1882,1884,"1882,1884",,Qatar National Library,"26.21536,50.5832",26.21536,50.5832,"Middle East and North Africa Bahrain,Middle East and North Africa Iraq,Middle East and North Africa Oman,Middle East and North Africa Qatar,Middle East and North Africa Saudi Arabia,Middle East and North Africa United Arab Emirates,Middle East and North Africa Yemen","https://content.wdl.org/iiif/16199,1,1/full/!1024,1024/0/default.jpg",https://www.wdl.org/en/item/16199/,Literature & rhetoric,Literatures of other specific languages and language families,Afro-Asiatic literatures,Semitic literatures,History & geography,History of Asia,Far East,Arabian Peninsula & adjacent areas,Adventure stories,Arabian Peninsula,Arabian Peninsula--Social life and customs,Arabic literature,Arabs,Folklore,,,,,,,,
Through the Heart of Afghanistan,"Trinkler, Emil, 1896-1931,Featherstone, B. K. (Belford Kinchant), born 1898",1928,1928,1928,,Library of Congress,"34.4999999958,61.9999999914",34.4999999958,61.9999999914,"Central and South Asia Afghanistan Herāt Herat,Central and South Asia Afghanistan Kābul Kābul,Central and South Asia Pakistan Northwest Frontier Peshāwar,Europe Latvia Rīga","https://content.wdl.org/iiif/16715,1,1/full/!1024,1024/0/default.jpg",https://www.wdl.org/en/item/16715/,History & geography,Geography & travel,Geography of & travel in Asia,Description and travel,Exploration and encounters,Foreign relations,Library of Congress Afghanistan Project,,,,,,,,,,,,,,,
"The Face of Manchuria, Korea, and Russian Turkestan","Kemp, E. G. (Emily Georgiana), 1860-1939",1910,1910,1910,,Library of Congress,"43.2565399951,76.9284799893",43.2565399951,76.9284799893,"Central and South Asia Kazakhstan Almaty Almaty,Central and South Asia Kazakhstan Jambyl,Central and South Asia Kazakhstan Kzyl-Orda,Central and South Asia Kazakhstan Ongtüstik Qazaqstan oblysy,Central and South Asia Kyrgyzstan,Central and South Asia Tajikistan,Central and South Asia Turkmenistan,Central and South Asia Uzbekistan,East Asia China Heilongjiang,East Asia China Inner Mongolia,East Asia China Jilin,East Asia China Liaoning Province,East Asia Democratic People's Republic of Korea,East Asia Republic of Korea","https://content.wdl.org/iiif/16719,1,1/full/!1024,1024/0/default.jpg",https://www.wdl.org/en/item/16719/,History & geography,Geography & travel,Geography of & travel in Asia,History of Asia,Far East,China & adjacent areas,Cities and towns,Description and travel,Exploration and encounters,Islam,Library of Congress Afghanistan Project,Manners and customs,Trans-Siberian Railroad,,,,,,,,,
Russian Central Asia,"Lansdell, Henry, 1841-1919",1885,1885,1885,,Library of Congress,"50.4267499948,80.2666899888",50.4267499948,80.2666899888,"Central and South Asia Kazakhstan East Kazakhstan Region Semey,Central and South Asia Turkmenistan Mary,Central and South Asia Uzbekistan Buxoro Viloyati Bukhara,Central and South Asia Uzbekistan Farg'ona Viloyati Kokand,Central and South Asia Uzbekistan Qashqadaryo Viloyati Qarshi,Central and South Asia Uzbekistan Samarqand Viloyati Samarkand,Central and South Asia Uzbekistan Toshkent Viloyati Tashkent,Central and South Asia Uzbekistan Xorazm Viloyati Khiva,East Asia China Xinjiang Uyghur Autonomous Region Yining","https://content.wdl.org/iiif/16720,1,1/full/!1024,1024/0/default.jpg",https://www.wdl.org/en/item/16720/,History & geography,Geography & travel,Geography of & travel in Asia,History of Asia,Far East,Central Asia,Asiatic Russia,Bible. Old Testament,Description and travel,Exploration and encounters,Library of Congress Afghanistan Project,Manners and customs,Religious education,,,,,,,,,
