Title of work,Artist or author display,Start Date,End Date,Date,Type of Item,Partner institutions,"Latitude,Longitude",Latitude,Longitude,Location name,Image (link),Record url,Subject 1,Subject 2,Subject 3,Subject 4,Subject 5,Subject 6,Additional Subjects,Additional Subjects,Additional Subjects,Additional Subjects,Additional Subjects,Additional Subjects,Additional Subjects,Additional Subjects,Additional Subjects,Additional Subjects,Additional Subjects,Additional Subjects,Additional Subjects,Additional Subjects,Additional Subjects,Additional Subjects
Selections from the Travels and Journals Preserved in the Bombay Secretariat,"India. Director of records,Forrest, George, Sir, 1845-1926",1906,1906,1906,,Library of Congress,"34.4999999958,61.9999999914",34.4999999958,61.9999999914,"Central and South Asia Afghanistan Herāt Herat,Central and South Asia Afghanistan Kābul Kābul,Central and South Asia Afghanistan Qandahār Kandahar,Central and South Asia India Himāchal Pradesh Simla,Central and South Asia Iran, Islamic Republic of Yazd Yazd,Central and South Asia Pakistan Balochistan Kalāt,Central and South Asia Pakistan Sindh Karachi,Middle East and North Africa Yemen Ṣanʻāʼ,Middle East and North Africa Yemen Shabwah Thafar,Middle East and North Africa Yemen Tā'izz Mocha","https://content.wdl.org/iiif/17737,1,1/full/!1024,1024/0/default.jpg",https://www.wdl.org/en/item/17737/,History & geography,Geography & travel,Geography of & travel in Asia,History of Asia,Far East,Central Asia,Afghan Wars,"Burnes, Alexander, Sir, 1805-1841",Description and travel,Diplomatic relations,East India Company,Eastern question (Central Asia),Foreign relations,Great Game (South Asia),Library of Congress Afghanistan Project,"Todd, Elliot D'Arcy, 1808-1845",Voyages and travels,,,,,
Around Afghanistan,"Bouillane de Lacoste, Henry de, 1867-1937,Leygues, Georges, 1856-1933,Anderson, J. G.",1909,1909,1909,,Library of Congress,"34.52813,69.17233",34.52813,69.17233,"Central and South Asia Afghanistan,Central and South Asia India Jammu and Kashmīr,Central and South Asia Iran, Islamic Republic of Khorāsān-e Razavī Mashhad,Central and South Asia Iran, Islamic Republic of Tehrān Tehrān,Central and South Asia Kyrgyzstan,Central and South Asia Pakistan Balochistan,Central and South Asia Pakistan Punjab Lahore,Central and South Asia Tajikistan,Central and South Asia Turkmenistan Ashgabat,Central and South Asia Turkmenistan Mary,Central and South Asia Uzbekistan Andijon Viloyati Andijon,Central and South Asia Uzbekistan Buxoro Viloyati Bukhara,Central and South Asia Uzbekistan Samarqand Viloyati Samarkand,East Asia China Tibet,East Asia China Xinjiang Uyghur Autonomous Region","https://content.wdl.org/iiif/17745,1,1/full/!1024,1024/0/default.jpg",https://www.wdl.org/en/item/17745/,History & geography,Geography & travel,Geography of & travel in Asia,History of Asia,Far East,Central Asia,"Bouillane de Lacoste, Henry de, 1867-1937",Description and travel,Diaries,Eastern question (Central Asia),"Enselme, Hippolyte Marie Joseph Antoine",Exploration and encounters,Manners and customs,Railroad travel,,,,,,,,
Sind Revisited,"Burton, Richard Francis, Sir, 1821-1890",1877,1877,1877,,Library of Congress,"17.3840499977,78.4563599891",17.3840499977,78.4563599891,"Central and South Asia India Telangana Hyderabad,Central and South Asia Pakistan Sindh Karachi","https://content.wdl.org/iiif/17754,1,1/full/!1024,1024/0/default.jpg",https://www.wdl.org/en/item/17754/,Social sciences,Political science,International migration & colonization,History & geography,Geography & travel,Geography of & travel in Asia,"Burton, Richard Francis, Sir, 1821-1890",Defenses,Description and travel,Exploration and encounters,Great Britain. Army. British Indian Army,Great Game (South Asia),Hinduism,Islam,Legends,Manners and customs,Railroads,Religion,,,,
Causes of the Afghan War,Afghan Committee (Great Britain),1879,1879,1879,,Library of Congress,"34.52813,69.17233",34.52813,69.17233,"Central and South Asia Afghanistan,Central and South Asia Bangladesh,Central and South Asia Bhutan,Central and South Asia India,Central and South Asia Pakistan,Central and South Asia Sri Lanka,Europe Russian Federation,Europe United Kingdom of Great Britain and Northern Ireland,Southeast Asia Myanmar","https://content.wdl.org/iiif/17756,1,1/full/!1024,1024/0/default.jpg",https://www.wdl.org/en/item/17756/,Social sciences,Political science,International migration & colonization,History & geography,History of Asia,Far East,Central Asia,Afghan Wars,Colonization,Eastern question (Central Asia),Foreign relations,Great Game (South Asia),Library of Congress Afghanistan Project,Military campaigns,Territorial questions,Territories and possessions,,,,,,
"Akbar and the Jesuits, An Account of the Jesuit Missions to the Court of Akbar","Du Jarric, Pierre, approximately 1566-1617,Power, Eileen, 1889-1940,Ross, E. Denison (Edward Denison), Sir, 1871-1940,Payne, C. H. (Charles Herbert)",1926,1926,1926,,Library of Congress,"34.52813,69.17233",34.52813,69.17233,"Central and South Asia Afghanistan,Central and South Asia India,Central and South Asia Pakistan","https://content.wdl.org/iiif/17771,1,1/full/!1024,1024/0/default.jpg",https://www.wdl.org/en/item/17771/,Religion,History of Christianity & Christian church,Religious orders in church history,History & geography,History of Asia,Far East,South Asia,India,"Akbar, Emperor of Hindustan, 1542-1605",Catholic Church--Missions,Description and travel,Jesuits,Missionaries,Missions,Mogul Empire,,,,,,,
The Life and Correspondence of Major-General Sir John Malcolm,"Kaye, John William, Sir, 1814-1876",1856,1856,1856,,Library of Congress,"19.07283,72.88261",19.07283,72.88261,"Central and South Asia India Mahārāshtra Mumbai,Central and South Asia India Mahārāshtra Nagpur,Central and South Asia India Mahārāshtra Pune,Central and South Asia India Mysore,Central and South Asia India Tamil Nādu Chennai,Central and South Asia India Tamil Nādu Vellore,Central and South Asia India Telangana Hyderabad,Central and South Asia India West Bengal Kolkata,Central and South Asia Iran, Islamic Republic of Būshehr Bandar-e Būshehr,Central and South Asia Iran, Islamic Republic of Eşfahān Eşfahān,Central and South Asia Iran, Islamic Republic of Fārs Shiraz,Central and South Asia Iran, Islamic Republic of Tehrān Tehrān,Europe Belgium Flanders Ostend,Europe France Île-de-France Paris,Europe United Kingdom of Great Britain and Northern Ireland England,Middle East and North Africa Iraq Baghdad Baghdad,Middle East and North Africa Oman Masqat Muscat","https://content.wdl.org/iiif/17775,1,1/full/!1024,1024/0/default.jpg",https://www.wdl.org/en/item/17775/,History & geography,Geography & travel,Geography of & travel in Asia,"Biography, genealogy & insignia",Biography,Correspondence,Description and travel,Diplomats,East India Company,"India -- History -- British occupation, 1765-1947",Letters,"Malcolm, John, 1769-1833",,,,,,,,,,
"The Heart of a Continent: A Narrative of Travels in Manchuria, across the Gobi Desert, through the Himalayas, the Pamirs, and Chitral, 1884-1894","Younghusband, Francis Edward, Sir, 1863-1942,Murray, John, Sir, 1851-1928",1896,1896,1896,,Library of Congress,"32.220059996,76.3201299894",32.220059996,76.3201299894,"Central and South Asia India Himāchal Pradesh Dharmsāla,Central and South Asia India Jammu and Kashmīr Leh,Central and South Asia India Jammu and Kashmīr Srinagar,Central and South Asia Pakistan Gilgit-Baltistan Gulmit,Central and South Asia Pakistan Khyber Pakhtunkhwa Chitral,East Asia China Beijing Beijing,East Asia China Heilongjiang Qiqihar,East Asia China Inner Mongolia Hohhot,East Asia China Liaoning Province Shenyang,East Asia China Liaoning Province Yingkou,East Asia China Xinjiang Uyghur Autonomous Region Hami,East Asia China Xinjiang Uyghur Autonomous Region Kashgar,East Asia China Xinjiang Uyghur Autonomous Region Shache,East Asia China Xinjiang Uyghur Autonomous Region Taxkorgan,East Asia China Xinjiang Uyghur Autonomous Region Xaidulla","https://content.wdl.org/iiif/17779,1,1/full/!1024,1024/0/default.jpg",https://www.wdl.org/en/item/17779/,History & geography,Geography & travel,Geography of & travel in Asia,History of Asia,Far East,Central Asia,Colonization,Description and travel,Eastern question (Central Asia),Ethnic groups,Exploration and encounters,Foreign relations,Great Game (South Asia),"James, H. Evan M. (Henry Evan Murchison), Sir, 1846-1923","Younghusband, Francis Edward, Sir, 1863-1942",,,,,,,
"The Kitabi-i-Yamini, Historical Memoirs of the Amír Sabaktagín and the Sultán Mahmúd of Ghazna, Early Conquerors of Hindustan, and Founders of the Ghaznavide Dynasty. Translated from the Persian Version of the Contemporary Arabic Chronicle of al Utbi","ʻUtbī, Muḥammad ibn ʻAbd al-Jabbār, died 1035 or 1036,Reynolds, James, 1805-1866",1858,1858,1858,,Library of Congress,"34.52813,69.17233",34.52813,69.17233,"Central and South Asia Afghanistan,Central and South Asia India,Central and South Asia Iran, Islamic Republic of,Central and South Asia Pakistan,Central and South Asia Tajikistan,Central and South Asia Turkmenistan,Central and South Asia Uzbekistan","https://content.wdl.org/iiif/17782,1,1/full/!1024,1024/0/default.jpg",https://www.wdl.org/en/item/17782/,History & geography,Geography & travel,Geography of & travel in Asia,History of Asia,Far East,Central Asia,Arabic literature,Ghaznevids,Kings and rulers,Library of Congress Afghanistan Project,"Mahmud, Sultan of Ghazni, 971-1030",Military campaigns,"Sabuktakīn, Nāṣir al-Dawlah, Emir of Ghazni, died 997","Samanid dynasty, 9th-10th centuries",,,,,,,,
A History of Ottoman Poetry,"Gibb, Elias John Wilkinson, 1857-1901,Browne, Edward Granville, 1862-1926",1900,1909,"1900,1909",,Library of Congress,"39.91987,32.85427",39.91987,32.85427,Middle East and North Africa Turkey,"https://content.wdl.org/iiif/17783,1,1/full/!1024,1024/0/default.jpg",https://www.wdl.org/en/item/17783/,Literature & rhetoric,Literatures of other specific languages and language families,"Altaic, Uralic, Hyperborean & Dravidian",History & geography,History of Asia,Far East,Middle East (Near East),Afghan poetry,"Jāmī, 1414-1492",Library of Congress Afghanistan Project,"Ottoman Empire, 1288-1918",Poetry,Poets,"Poets, Afghan","Poets, Persian","Poets, Turkish","Şinasi, İbrahim, 1826-1871","Tăbrizi, Saib, born 1601",Turkish poetry,"ʻUrfī Shīrāzī, Muḥammad, 1555 or 1556-1590 or 1591",,
Travels in India,"Tavernier, Jean-Baptiste, 1605-1689,Crooke, William, 1848-1923,Ball, V. (Valentine), 1843-1895",1925,1925,1925,,Library of Congress,"15.9999999978,78.999999989",15.9999999978,78.999999989,"Central and South Asia India Andhra Pradesh Golconda,Central and South Asia India Andhra Pradesh Jammalamadugu,Central and South Asia India Andhra Pradesh Machilīpatnam,Central and South Asia India Gujarāt Ahmedabad,Central and South Asia India Gujarāt Sūrat,Southeast Asia Myanmar Bago Bago,Southeast Asia Myanmar Mandalay Mandalay,Southeast Asia Myanmar Mandalay Mogok,Southeast Asia Myanmar Yangon Rangoon","https://content.wdl.org/iiif/17787,1,1/full/!1024,1024/0/default.jpg",https://www.wdl.org/en/item/17787/,History & geography,Geography & travel,Geography of & travel in Asia,History of Asia,Far East,South Asia,India,Description and travel,Diamond mines and mining,Exploration and encounters,Gems,Mines and mineral resources,Mogul Empire,"Tavernier, Jean-Baptiste, 1605-1689",,,,,,,,
The Frontiers of Baluchistan,"Tate, George Passman, born 1856,McMahon, Henry, Sir, 1862-1949",1909,1909,1909,,Library of Congress,"34.52813,69.17233",34.52813,69.17233,"Central and South Asia Afghanistan,Central and South Asia Iran, Islamic Republic of,Central and South Asia Pakistan","https://content.wdl.org/iiif/17789,1,1/full/!1024,1024/0/default.jpg",https://www.wdl.org/en/item/17789/,Social sciences,Political science,International migration & colonization,History & geography,Geography & travel,Geography of & travel in Asia,Boundaries,Description and travel,Eastern question (Central Asia),Expeditions and surveys,Great Game (South Asia),Helmand River (Afghanistan),Library of Congress Afghanistan Project,"Seistan Arbitration Mission, 1903-1905",Survey of India,Territories and possessions,,,,,,
Concise English-Afghan Dari Dictionary,"Sakaria, S.",1967,1967,1967,,Library of Congress,"34.52813,69.17233",34.52813,69.17233,Central and South Asia Afghanistan,"https://content.wdl.org/iiif/17796,1,1/full/!1024,1024/0/default.jpg",https://www.wdl.org/en/item/17796/,Language,Dictionaries & encyclopedias,History & geography,Geography & travel,Geography of & travel in Asia,Dari language,Encyclopedias and dictionaries,English language,Grammar,Library of Congress Afghanistan Project,Persian language,Pronunciation,Translating and interpreting,,,,,,,,,
"The Stars and Stripes. Volume 1, Number 3, February 22, 1918","Cushing, Charles Phelps, 1884-1973,Hawley, Hudson,Michael, William K.,Viskniskki, Guy Thomas, 1876-1949,Wallgren, Abian A. (Abian Anders), approximately 1891-1948",1918,1918,1918,,Library of Congress,"48.85341,2.3488",48.85341,2.3488,"Europe France,North America United States of America","https://content.wdl.org/iiif/17984,1,1/full/!1024,1024/0/default.jpg",https://www.wdl.org/en/item/17984/,Social sciences,Public administration & military science,Military science,History & geography,History of Europe,Military personnel,United States. Army,United States. Army. American Expeditionary Forces,War,"World War, 1914-1918",,,,,,,,,,,,
"The Stars and Stripes. Volume 1, Number 22, July 5, 1918","Ayers, Milton J.,Carroll, Stuart,Cartinhour, William C.,Dorland Advertising Agency (London),Erickson, Alfred W., 1876-1936,Hawley, Hudson,Michael, William K.,Ochs, Adolph S. (Adolph Simon), 1858-1935,Ross, Harold Wallace, 1892-1951,Waldo, Richard H.,Winterich, John T., 1891-1970,Woollcott, Alexander, 1887-1943,Viskniskki, Guy Thomas, 1876-1949,Baldridge, Cyrus Leroy, 1889-1977,Wallgren, Abian A. (Abian Anders), approximately 1891-1948",1918,1918,1918,,Library of Congress,"48.85341,2.3488",48.85341,2.3488,"Europe France,North America United States of America","https://content.wdl.org/iiif/18003,1,1/full/!1024,1024/0/default.jpg",https://www.wdl.org/en/item/18003/,Social sciences,Public administration & military science,Military science,History & geography,History of Europe,Military personnel,United States. Army,United States. Army. American Expeditionary Forces,War,"World War, 1914-1918",,,,,,,,,,,,
"The Stars and Stripes. Volume 1, Number 42, November 22, 1918","Dorland Advertising Agency (London),Erickson, Alfred W., 1876-1936,Viskniskki, Guy Thomas, 1876-1949",1918,1918,1918,,Library of Congress,"48.85341,2.3488",48.85341,2.3488,"Europe France,North America United States of America","https://content.wdl.org/iiif/18023,1,1/full/!1024,1024/0/default.jpg",https://www.wdl.org/en/item/18023/,Social sciences,Public administration & military science,Military science,History & geography,History of Europe,Armistice Day,Holidays,Military personnel,Peace,United States. Army,United States. Army. American Expeditionary Forces,War,"World War, 1914-1918",,,,,,,,,
"The Stars and Stripes. Volume 2, Number 10, April 11, 1919","Britt, George W. B., born 1876,Carroll, Stuart,Erickson, Alfred W., 1876-1936,Muller, J. W.,Ross, Harold Wallace, 1892-1951,Sibley, Frank P. (Frank Palmer), born 1871,Winterich, John T., 1891-1970,Woollcott, Alexander, 1887-1943,Baldridge, Cyrus Leroy, 1889-1977,Wallgren, Abian A. (Abian Anders), approximately 1891-1948",1919,1919,1919,,Library of Congress,"48.85341,2.3488",48.85341,2.3488,"Europe France,North America United States of America","https://content.wdl.org/iiif/18043,1,1/full/!1024,1024/0/default.jpg",https://www.wdl.org/en/item/18043/,Social sciences,Public administration & military science,Military science,History & geography,History of Europe,"Argonne, Battle of the, France, 1918",Battles,Military personnel,Military supplies,United States. Army,United States. Army. American Expeditionary Forces,War,"World War, 1914-1918",,,,,,,,,
"The Stars and Stripes. Volume 2, Number 11, April 18, 1919","Britt, George W. B., born 1876,Carroll, Stuart,Erickson, Alfred W., 1876-1936,Muller, J. W.,Ross, Harold Wallace, 1892-1951,Sibley, Frank P. (Frank Palmer), born 1871,Winterich, John T., 1891-1970,Woollcott, Alexander, 1887-1943,Baldridge, Cyrus Leroy, 1889-1977,Wallgren, Abian A. (Abian Anders), approximately 1891-1948",1919,1919,1919,,Library of Congress,"48.85341,2.3488",48.85341,2.3488,"Europe France,North America United States of America","https://content.wdl.org/iiif/18044,1,1/full/!1024,1024/0/default.jpg",https://www.wdl.org/en/item/18044/,Social sciences,Public administration & military science,Military science,History & geography,History of Europe,"Argonne, Battle of the, France, 1918",Battles,Military personnel,United States. Army,United States. Army. American Expeditionary Forces,War,"World War, 1914-1918",,,,,,,,,,
"A General Collection of the Best and Most Interesting Voyages and Travels, Volume 1","Raleigh, Walter, Sir, approximately 1552-1618,Troil, Uno von, 1746-1803,Pinkerton, John, 1758-1826",1808,1808,1808,,Library of Congress,"67.7499999951,26.4999999963",67.7499999951,26.4999999963,"Europe Finland Lapin lääni,Europe Iceland,Europe Norway Finnmark,Europe Norway Svalbard,Europe Portugal Azores,Europe Russian Federation Arkhangelsk Oblast","https://content.wdl.org/iiif/18540,1,1/full/!1024,1024/0/default.jpg",https://www.wdl.org/en/item/18540/,History & geography,Geography & travel,Geography of & travel in Europe,History of Europe,Arctic regions,Description and travel,"Elizabeth I, Queen of England, 1533-1603",Exploration and encounters,Explorers,Voyages and travels,,,,,,,,,,,,
"A General Collection of the Best and Most Interesting Voyages and Travels, Volume 2","Ferber, Johann Jakob, 1743-1790,Gonzáles, Manoel, active 18th century,Pinkerton, John, 1758-1826",1808,1808,1808,,Library of Congress,"52.1604499948,-0.703119999902",52.1604499948,-0.703119999902,"Europe United Kingdom of Great Britain and Northern Ireland England,Europe United Kingdom of Great Britain and Northern Ireland Scotland,Europe United Kingdom of Great Britain and Northern Ireland Wales","https://content.wdl.org/iiif/18541,1,1/full/!1024,1024/0/default.jpg",https://www.wdl.org/en/item/18541/,History & geography,Geography & travel,Geography of & travel in Europe,History of Europe,England & Wales,Description and travel,Exploration and encounters,Explorers,Geology,Voyages and travels,,,,,,,,,,,,
"A General Collection of the Best and Most Interesting Voyages and Travels, Volume 3","Brand, John, 1744-1806,Cromarty, George Mackenzie, Earl of, 1630-1714,Hamilton, William, 1730-1803,Martin, Martin, died 1719,Pennant, Thomas, 1726-1798,Young, Arthur, 1741-1820,Pinkerton, John, 1758-1826",1809,1809,1809,,Library of Congress,"53.33306,-6.24889",53.33306,-6.24889,"Europe Ireland,Europe United Kingdom of Great Britain and Northern Ireland Scotland","https://content.wdl.org/iiif/18542,1,1/full/!1024,1024/0/default.jpg",https://www.wdl.org/en/item/18542/,History & geography,Geography & travel,Geography of & travel in Europe,History of Europe,British Isles,Description and travel,Exploration and encounters,Explorers,Voyages and travels,,,,,,,,,,,,,
"A General Collection of the Best and Most Interesting Voyages and Travels, Volume 5","Bourgoing, Jean-François, baron de, 1748-1811,Coxe, William, 1747-1828,Dolomieu, Déodat de, 1750-1801,Spallanzani, Lazzaro, 1729-1799,Pinkerton, John, 1758-1826",1809,1809,1809,,Library of Congress,"41.89474,12.4839",41.89474,12.4839,"Europe Italy,Europe Spain,Europe Switzerland","https://content.wdl.org/iiif/18544,1,1/full/!1024,1024/0/default.jpg",https://www.wdl.org/en/item/18544/,History & geography,Geography & travel,Geography of & travel in Europe,History of Europe,Description and travel,Exploration and encounters,Explorers,Voyages and travels,,,,,,,,,,,,,,
"A General Collection of the Best and Most Interesting Voyages and Travels, Volume 6","Coxe, William, 1747-1828,Fortia de Piles, A. (Alphonse), comte de, 1758-1826,Riesbeck, Johann Kaspar, 1754-1786,Pinkerton, John, 1758-1826",1809,1809,1809,,Library of Congress,"55.67594,12.56553",55.67594,12.56553,"Europe Denmark,Europe Germany,Europe Norway,Europe Russian Federation,Europe Sweden","https://content.wdl.org/iiif/18545,1,1/full/!1024,1024/0/default.jpg",https://www.wdl.org/en/item/18545/,History & geography,Geography & travel,Geography of & travel in Europe,History of Europe,Description and travel,Exploration and encounters,Explorers,Voyages and travels,,,,,,,,,,,,,,
"A General Collection of the Best and Most Interesting Voyages and Travels in All Parts of the World, Volume 7","Bell, John, 1691-1780,Caron, François, 1600-1673,Hamel, Hendrik, active 1653-1669,Kaempfer, Engelbert, 1651-1716,Nieuhof, Johannes, 1618-1672,Renaudot, Eusèbe, 1646-1720,Pinkerton, John, 1758-1826",1811,1811,1811,,Library of Congress,"34.52813,69.17233",34.52813,69.17233,"Central and South Asia Afghanistan,Central and South Asia India,Central and South Asia Iran, Islamic Republic of,Central and South Asia Kazakhstan,Central and South Asia Kyrgyzstan,Central and South Asia Pakistan,Central and South Asia Tajikistan,Central and South Asia Turkmenistan,Central and South Asia Uzbekistan,East Asia China,East Asia Democratic People's Republic of Korea,East Asia Japan,East Asia Republic of Korea","https://content.wdl.org/iiif/18546,1,1/full/!1024,1024/0/default.jpg",https://www.wdl.org/en/item/18546/,History & geography,Geography & travel,Geography of & travel in Europe,History of Europe,Diplomats,Discoveries in geography,East India Company,Exploration and encounters,Explorers,"Góis, Bento de, 1562-1607","Goyer, Pieter de","Keizer, Jacob de",Missionaries,"Polo, Marco,‏ ‎1254-1324‏","Ruysbroeck, Willem van, approximately 1210-approximately 1270",Voyages and travels,,,,,,
"A General Collection of the Best and Most Interesting Voyages and Travels, Volume 8","Bernier, François, 1620-1688,Hamilton, Alexander, died approximately 1732,Hamilton, Francis, 1762-1829,Lord, Henry, born 1563,Roe, Thomas, Sir, approximately 1581-1644,Tavernier, Jean-Baptiste, 1605-1689,Pinkerton, John, 1758-1826",1811,1811,1811,,Library of Congress,"28.63576,77.22445",28.63576,77.22445,"Central and South Asia India,Southeast Asia","https://content.wdl.org/iiif/18547,1,1/full/!1024,1024/0/default.jpg",https://www.wdl.org/en/item/18547/,History & geography,Geography & travel,Geography of & travel in Asia,History of Asia,Far East,Description and travel,East Indies,Exploration and encounters,Explorers,Mogul Empire,Voyages and travels,,,,,,,,,,,
"A General Collection of the Best and Most Interesting Voyages and Travels, Volume 9","Chardin, John, Sir, 1643-1713,Della Valle, Pietro, 1586-1652,Jenkinson, Anthony, 1529-1611,Pinkerton, John, 1758-1826",1811,1811,1811,,Library of Congress,"35.69439,51.42151",35.69439,51.42151,"Central and South Asia Iran, Islamic Republic of,Southeast Asia Myanmar,Southeast Asia Thailand,Southeast Asia Viet Nam","https://content.wdl.org/iiif/18548,1,1/full/!1024,1024/0/default.jpg",https://www.wdl.org/en/item/18548/,History & geography,Geography & travel,Geography of & travel in Asia,History of Asia,Far East,Southeast Asia,Description and travel,Exploration and encounters,Explorers,Voyages and travels,,,,,,,,,,,,
"A General Collection of the Best and Most Interesting Voyages and Travels, Volume 10","Blount, Henry, Sir, 1602-1682,Dandini, Girolamo, 1554-1634,Maundrell, Henry, 1665-1701,Niebuhr, Carsten, 1733-1815,Pococke, Richard, 1704-1765,Pinkerton, John, 1758-1826",1811,1811,1811,,Library of Congress,"29.0,33.8",29.0,33.8,"Middle East and North Africa Egypt Janūb Sīnā',Middle East and North Africa Egypt Shamal Sīnā',Middle East and North Africa Israel,Middle East and North Africa Lebanon,Middle East and North Africa Saudi Arabia,Middle East and North Africa Syrian Arab Republic,Middle East and North Africa Turkey","https://content.wdl.org/iiif/18549,1,1/full/!1024,1024/0/default.jpg",https://www.wdl.org/en/item/18549/,History & geography,Geography & travel,Geography of & travel in Asia,History of Asia,Far East,Arabian Peninsula & adjacent areas,Arabian Peninsula,Description and travel,Exploration and encounters,Explorers,Voyages and travels,,,,,,,,,,,
"A General Collection of the Best and Most Interesting Voyages and Travels, Volume 11","Dampier, William, 1652-1715,Pigafetta, Antonio, 1480?-1534?,Pinkerton, John, 1758-1826",1812,1812,1812,,Library of Congress,"-35.28346,149.12807",-35.28346,149.12807,"Oceania and the Pacific Australia,Southeast Asia Indonesia,Southeast Asia Malaysia,Southeast Asia Philippines","https://content.wdl.org/iiif/18550,1,1/full/!1024,1024/0/default.jpg",https://www.wdl.org/en/item/18550/,History & geography,Geography & travel,Geography of & travel in Asia,History of Asia,Far East,"Cook, James, 1728-1779",Description and travel,Exploration and encounters,Explorers,Voyages and travels,,,,,,,,,,,,
"A General Collection of the Best and Most Interesting Voyages and Travels, Volume 12","Cartier, Jacques, 1491-1557,Colón, Fernando, 1488-1539,Pinkerton, John, 1758-1826",1812,1812,1812,,Library of Congress,"45.41117,-75.69812",45.41117,-75.69812,"North America Canada,North America United States of America","https://content.wdl.org/iiif/18551,1,1/full/!1024,1024/0/default.jpg",https://www.wdl.org/en/item/18551/,History & geography,Geography & travel,Geography of & travel in North America,History of North America,"Columbus, Christopher",Description and travel,Exploration and encounters,Explorers,Northwest Passage,"Raleigh, Walter, Sir, 1552?-1618",Voyages and travels,,,,,,,,,,,
"A General Collection of the Best and Most Interesting Voyages and Travels, Volume 13","Kalm, Pehr, 1716-1779,Lahontan, Louis Armand de Lom d'Arce, baron de, 1666-1716,Smith, John, 1580-1631,Thiéry de Ménonville, Nicolas Joseph, 1739-1780,Pinkerton, John, 1758-1826",1812,1812,1812,,Library of Congress,"45.41117,-75.69812",45.41117,-75.69812,"North America Canada,North America United States of America","https://content.wdl.org/iiif/18552,1,1/full/!1024,1024/0/default.jpg",https://www.wdl.org/en/item/18552/,History & geography,Geography & travel,Geography of & travel in North America,History of North America,Colonial America,Description and travel,Exploration and encounters,Explorers,Voyages and travels,,,,,,,,,,,,,
"A General Collection of the Best and Most Interesting Voyages and Travels, Volume 14","La Condamine, Charles-Marie de, 1701-1774,Nieuhof, Johannes, 1618-1672,Ovalle, Alonso de, 1601-1651,Ulloa, Antonio de, 1716-1795,Pinkerton, John, 1758-1826",1813,1813,1813,,Library of Congress,"-15.77972,-47.92972",-15.77972,-47.92972,"Latin America and the Caribbean Brazil,Latin America and the Caribbean Chile,Latin America and the Caribbean Peru","https://content.wdl.org/iiif/18553,1,1/full/!1024,1024/0/default.jpg",https://www.wdl.org/en/item/18553/,History & geography,Geography & travel,Geography of & travel in South America,History of South America,Description and travel,Exploration and encounters,Explorers,Voyages and travels,,,,,,,,,,,,,,
"A General Collection of the Best and Most Interesting Voyages and Travels, Volume 15","Addison, Lancelot, 1632-1703,Lemprière, William, died 1834,Lobo, Jerónimo, approximately 1596-1678,Pococke, Richard, 1704-1765,Poncet, Charles Jacques, 1655-1706,Shaw, Thomas, 1694-1751,Windus, John,ʿAbd al-Laṭīf al-Baghdādī, Muwaffaq al-Dīn, 1162-1231,Pinkerton, John, 1758-1826",1814,1814,1814,,Library of Congress,"9.02497,38.74689",9.02497,38.74689,"Africa Ethiopia,Africa Sudan,Middle East and North Africa Egypt,Middle East and North Africa Morocco","https://content.wdl.org/iiif/18554,1,1/full/!1024,1024/0/default.jpg",https://www.wdl.org/en/item/18554/,History & geography,Geography & travel,Geography of & travel in Africa,History of Africa,Description and travel,Exploration and encounters,Explorers,Voyages and travels,,,,,,,,,,,,,,
"A General Collection of the Best and Most Interesting Voyages and Travels, Volume 16","Pinkerton, John, 1758-1826",1814,1814,1814,,Library of Congress,"-8.83682,13.23432",-8.83682,13.23432,"Africa Angola,Africa Democratic Republic of the Congo,Africa Ethiopia,Africa Madagascar,Africa Senegal,Africa South Africa","https://content.wdl.org/iiif/18555,1,1/full/!1024,1024/0/default.jpg",https://www.wdl.org/en/item/18555/,History & geography,Geography & travel,Geography of & travel in Africa,History of Africa,Description and travel,Exploration and encounters,Explorers,Voyages and travels,,,,,,,,,,,,,,
"A General Collection of the Best and Most Interesting Voyages and Travels, Volume 17","Pinkerton, John, 1758-1826",1814,1814,1814,,Library of Congress,"0.0,179.999999975",0.0,179.999999975,World,"https://content.wdl.org/iiif/18556,1,1/full/!1024,1024/0/default.jpg",https://www.wdl.org/en/item/18556/,"Computer science, information, general works",General collections,General collections in English,History & geography,Geography & travel,Description and travel,Discoveries in geography,Exploration and encounters,Explorers,Voyages and travels,,,,,,,,,,,,
"Three-Wheeled Wooden Vehicle with Chinese Dragon Artillery (Longshen Pao). Lanzhou, Gansu Province, China, 1875","Boiarskii, Adolf-Nikolay Erazmovich",1875,1875,1875,,National Library of Brazil,"36.05701,103.83987",36.05701,103.83987,East Asia China Gansu Province Lanzhou,"https://content.wdl.org/iiif/1901,1,1/full/!1024,1024/0/default.jpg",https://www.wdl.org/en/item/1901/,Social sciences,Public administration & military science,Military science,History & geography,History of Asia,Far East,China & adjacent areas,Cannons,Memory of the World,Ordnance,,,,,,,,,,,,
