Record URL,Place,LatLong
https://www.wdl.org/en/item/11761/,"Central and South Asia Iran, Islamic Republic of","35.69439, 51.42151"
https://www.wdl.org/en/item/4325/,"Africa South Africa Gauteng Johannesburg","-26.20227, 28.04363"
https://www.wdl.org/en/item/2884/,"Africa Tanzania, United Republic of","-6.17221, 35.73947"
https://www.wdl.org/en/item/17629/,"Africa Benin","6.49646, 2.60359"
https://www.wdl.org/en/item/17691/,"Central and South Asia Afghanistan","34.52813, 69.17233"
https://www.wdl.org/en/item/17234/,"Middle East and North Africa Saudi Arabia Al Madīnah Medina","24.46861, 39.61417"
https://www.wdl.org/en/item/16816/,"Central and South Asia Afghanistan","34.52813, 69.17233"
https://www.wdl.org/en/item/11757/,"Middle East and North Africa","30.0626299962, 31.2496699957"
https://www.wdl.org/en/item/17628/,"Middle East and North Africa","30.0626299962, 31.2496699957"
https://www.wdl.org/en/item/18541/,"Europe United Kingdom of Great Britain and Northern Ireland England","52.1604499948, -0.703119999902"
https://www.wdl.org/en/item/16723/,"Africa Angola","-8.83682, 13.23432"
https://www.wdl.org/en/item/17717/,"Central and South Asia Afghanistan","34.52813, 69.17233"
https://www.wdl.org/en/item/17608/,"Africa Sudan","15.55177, 32.53241"
https://www.wdl.org/en/item/17613/,"Europe Spain Andalucía Granada",", "
https://www.wdl.org/en/item/17267/,"Central and South Asia Iran, Islamic Republic of Eşfahān Eşfahān","32.65722, 51.67761"
https://www.wdl.org/en/item/17540/,"Central and South Asia Iran, Islamic Republic of Būshehr Bandar-e Būshehr","28.9683999963, 50.8384999929"
https://www.wdl.org/en/item/18542/,"Europe Ireland","53.33306, -6.24889"
https://www.wdl.org/en/item/17756/,"Central and South Asia Afghanistan","34.52813, 69.17233"
https://www.wdl.org/en/item/17754/,"Central and South Asia India Telangana Hyderabad","17.3840499977, 78.4563599891"
https://www.wdl.org/en/item/16817/,"Central and South Asia Pakistan Balochistan Kalāt","29.0225099963, 66.5915999907"
https://www.wdl.org/en/item/17539/,"Central and South Asia Kazakhstan Almaty Almaty","43.2565399951, 76.9284799893"
https://www.wdl.org/en/item/19079/,"Europe United Kingdom of Great Britain and Northern Ireland England","52.1604499948, -0.703119999902"
https://www.wdl.org/en/item/16097/,"Central and South Asia Bangladesh","23.7104, 90.40744"
https://www.wdl.org/en/item/17107/,"Middle East and North Africa Oman","23.61387, 58.5922"
https://www.wdl.org/en/item/18003/,"Europe France","48.85341, 2.3488"
https://www.wdl.org/en/item/17771/,"Central and South Asia Afghanistan","34.52813, 69.17233"
https://www.wdl.org/en/item/17745/,"Central and South Asia Afghanistan","34.52813, 69.17233"
https://www.wdl.org/en/item/18044/,"Europe France","48.85341, 2.3488"
https://www.wdl.org/en/item/18544/,"Europe Italy","41.89474, 12.4839"
https://www.wdl.org/en/item/17611/,"Europe Albania","41.3275, 19.81889"
https://www.wdl.org/en/item/19191/,"Europe United Kingdom of Great Britain and Northern Ireland England","52.1604499948, -0.703119999902"
https://www.wdl.org/en/item/19093/,"Europe United Kingdom of Great Britain and Northern Ireland England","52.1604499948, -0.703119999902"
https://www.wdl.org/en/item/17984/,"Europe France","48.85341, 2.3488"
https://www.wdl.org/en/item/17782/,"Central and South Asia Afghanistan","34.52813, 69.17233"
https://www.wdl.org/en/item/4324/,"Africa South Africa","-25.74486, 28.18783"
https://www.wdl.org/en/item/340/,"Europe United Kingdom of Great Britain and Northern Ireland","51.50853, -0.12574"
https://www.wdl.org/en/item/19108/,"Europe United Kingdom of Great Britain and Northern Ireland England","52.1604499948, -0.703119999902"
https://www.wdl.org/en/item/19092/,"Europe United Kingdom of Great Britain and Northern Ireland England","52.1604499948, -0.703119999902"
https://www.wdl.org/en/item/18553/,"Latin America and the Caribbean Brazil","-15.77972, -47.92972"
https://www.wdl.org/en/item/19084/,"Europe United Kingdom of Great Britain and Northern Ireland England","52.1604499948, -0.703119999902"
https://www.wdl.org/en/item/18555/,"Africa Angola","-8.83682, 13.23432"
https://www.wdl.org/en/item/14696/,"Europe Germany Bavaria Benediktbeuern","47.7062399949, 11.4152199984"
https://www.wdl.org/en/item/19149/,"Europe United Kingdom of Great Britain and Northern Ireland England","52.1604499948, -0.703119999902"
https://www.wdl.org/en/item/8959/,"Europe Switzerland","46.94809, 7.44744"
https://www.wdl.org/en/item/14404/,"East Asia China","39.9075, 116.39723"
https://www.wdl.org/en/item/9734/,"East Asia China","39.9075, 116.39723"
https://www.wdl.org/en/item/2351/,"East Asia China","39.9075, 116.39723"
https://www.wdl.org/en/item/10695/,"North America United States of America","38.89511, -77.03637"
https://www.wdl.org/en/item/17221/,"East Asia China Beijing Beijing","39.9075, 116.39723"
https://www.wdl.org/en/item/3083/,"East Asia China","39.9075, 116.39723"
