Item ID,filename,imageID,brightness_median,brightness_stdev,saturation_median,saturation_stdev,hue_median,hue_stdev
https://www.wdl.org/en/item/19093,19093.jpg,140,162,38.8646,55,12.3999,26,17.6914
https://www.wdl.org/en/item/19108,19108.jpg,147,167,35.2666,52,10.7981,27,21.628
https://www.wdl.org/en/item/19149,19149.jpg,76,147,37.5372,53,11.4277,26,13.0698
https://www.wdl.org/en/item/19191,19191.jpg,86,152,31.4575,74,13.8266,24,6.4348
https://www.wdl.org/en/item/19218,19218.jpg,92,150,42.9208,61,13.9506,25,11.9862
https://www.wdl.org/en/item/19223,19223.jpg,115,153,53.6311,92,63.5325,30,32.1608
https://www.wdl.org/en/item/19226,19226.jpg,82,151,43.5079,69,45.8437,34,32.7078
https://www.wdl.org/en/item/19380,19380.jpg,123,243,22.2552,50,7.6626,23,1.1946
https://www.wdl.org/en/item/19382,19382.jpg,101,235,30.8666,41,8.6366,22,1.9452
https://www.wdl.org/en/item/19486,19486.jpg,151,149,38.7234,113,28.3823,30,9.1958
https://www.wdl.org/en/item/19515,19515.jpg,14,134,52.8176,94,58.1571,41,60.1421
https://www.wdl.org/en/item/20062,20062.jpg,88,229,63.0035,12,56.1814,28,50.1527
https://www.wdl.org/en/item/20191,20191.jpg,36,163,44.9976,67,31.886,27,16.1524
https://www.wdl.org/en/item/215,215.jpg,4,241,25.8077,81,8.3128,21,0.9489
https://www.wdl.org/en/item/2339,2339.jpg,27,167,45.7357,146,34.152,24,9.0439
https://www.wdl.org/en/item/2351,2351.jpg,111,162,33.8447,127,29.4648,23,1.933
https://www.wdl.org/en/item/2371,2371.jpg,78,118,44.1735,33,6.749,33,8.1814
https://www.wdl.org/en/item/2374,2374.jpg,49,197,47.9322,30,44.6922,31,27.5689
https://www.wdl.org/en/item/2375,2375.jpg,45,128,34.4356,17,5.1115,36,4.7859
https://www.wdl.org/en/item/2377,2377.jpg,63,130,44.7482,38,17.045,21,3.7273
https://www.wdl.org/en/item/2380,2380.jpg,87,235,39.6221,52,10.9716,30,5.6999
https://www.wdl.org/en/item/2386,2386.jpg,112,162,47.1367,41,21.6122,30,12.8703
https://www.wdl.org/en/item/2387,2387.jpg,121,143,70.0721,51,20.5355,42,6.4263
https://www.wdl.org/en/item/2388,2388.jpg,61,230,27.07,45,8.5825,27,1.4686
https://www.wdl.org/en/item/2389,2389.jpg,54,235,24.3178,42,5.1579,30,1.586
https://www.wdl.org/en/item/2391,2391.jpg,103,188,52.5216,64,21.5232,30,6.0888
https://www.wdl.org/en/item/2396,2396.jpg,84,219,26.4124,76,10.8039,28,1.3923
https://www.wdl.org/en/item/2476,2476.jpg,23,221,21.5227,37,6.6651,33,4.4086
https://www.wdl.org/en/item/252,252.jpg,119,197,51.2791,42,13.6098,30,16.218
https://www.wdl.org/en/item/2527,2527.jpg,143,195,50.2518,95,32.9965,32,15.248
https://www.wdl.org/en/item/2551,2551.jpg,89,147,55.9213,52,20.9513,36,7.1421
https://www.wdl.org/en/item/2565,2565.jpg,60,182,34.9959,49,8.0302,27,1.8894
https://www.wdl.org/en/item/26,26.jpg,109,229,24.4312,85,10.1187,23,0.9112
https://www.wdl.org/en/item/2674,2674.jpg,20,134,41.183,45,12.0703,30,2.1971
https://www.wdl.org/en/item/2884,2884.jpg,19,230,19.6603,29,10.2928,36,5.8358
https://www.wdl.org/en/item/3034,3034.jpg,2,204,26.625,78,17.7656,30,3.5449
https://www.wdl.org/en/item/3083,3083.jpg,55,192,60.347,25,9.3381,19,3.8887
https://www.wdl.org/en/item/316,316.jpg,48,159,35.9295,56,10.6204,25,1.5357
https://www.wdl.org/en/item/340,340.jpg,130,205,38.0275,47,10.6312,25,3.4473
https://www.wdl.org/en/item/4116,4116.jpg,47,218,34.4331,80,29.5643,29,4.7284
https://www.wdl.org/en/item/4324,4324.jpg,114,254,29.5856,53,13.1488,26,2.2857
https://www.wdl.org/en/item/4325,4325.jpg,116,136,23.9287,130,14.8624,4,24.3885
https://www.wdl.org/en/item/4396,4396.jpg,137,137,42.1086,45,11.8844,33,4.0452
https://www.wdl.org/en/item/4397,4397.jpg,138,207,35.7115,89,21.4887,27,3.8918
https://www.wdl.org/en/item/4644,4644.jpg,83,210,89.5844,78,81.7613,25,8.7296
https://www.wdl.org/en/item/4677,4677.jpg,71,191,45.1047,67,31.9265,28,8.6573
https://www.wdl.org/en/item/5210,5210.jpg,113,231,38.8299,18,27.7368,170,34.9096
https://www.wdl.org/en/item/629,629.jpg,32,211,77.6348,40,11.4799,36,16.1701
https://www.wdl.org/en/item/634,634.jpg,154,188,56.0408,35,4.8787,30,4.1939
https://www.wdl.org/en/item/638,638.jpg,1,183,39.2422,47,9.004,29,1.8504
https://www.wdl.org/en/item/650,650.jpg,97,180,30.8887,55,15.0488,25,3.5047
https://www.wdl.org/en/item/7307,7307.jpg,127,217,24.0366,42,8.1839,27,1.5303
https://www.wdl.org/en/item/7310,7310.jpg,135,211,25.5752,49,9.7973,26,1.6448
https://www.wdl.org/en/item/7311,7311.jpg,142,235,40.8662,35,19.5022,26,3.7837
https://www.wdl.org/en/item/7317,7317.jpg,159,221,16.8656,33,5.8124,20,1.5776
https://www.wdl.org/en/item/7769,7769.jpg,43,231,37.6257,38,17.6267,38,4.4965
https://www.wdl.org/en/item/8959,8959.jpg,158,205,54.086,41,36.6293,22,55.2871
https://www.wdl.org/en/item/8975,8975.jpg,128,203,59.1677,33,36.735,31,65.775
https://www.wdl.org/en/item/9189,9189.jpg,81,126,13.4566,78,10.1113,40,7.6402
https://www.wdl.org/en/item/9734,9734.jpg,30,202,43.2765,86,24.9081,29,2.0582
https://www.wdl.org/en/item/9944,9944.jpg,100,212,29.694,44,14.9541,32,3.5222
